2025-12-11,masta of the universe,"BIG: added all road connections getter. Streets can be rendered now."
2025-12-11,spaceglidemasta,"Merge pull request #44 from Spaceglidemasta/sumo-service"
2025-12-11,Leon-Uas,"Added function to calculate stop lines"
2025-12-11,Leon-Uas,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-11,Leon-Uas,"Comments updated"
2025-12-11,Joel,"+ JavaDoc and cleanup in World class"
2025-12-11,Joel,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-11,Joel,"Merge branch 'main' into gui"
2025-12-11,spaceglidemasta,"Merge pull request #45 from Spaceglidemasta/gui"
2025-12-11,Leon-Uas,"Updated the stop line function"
2025-12-11,Leon-Uas,"Merge pull request #46 from Spaceglidemasta/gui"
2025-12-11,masta of the universe,"Added Statistics class and changed some naming"
2025-12-11,masta of the universe,"Name changes"
2025-12-11,spaceglidemasta,"Merge branch 'main' into sumo-service"
2025-12-11,spaceglidemasta,"Merge pull request #47 from Spaceglidemasta/sumo-service"
2025-12-11,masta of the universe,"Name changes"
2025-12-11,spaceglidemasta,"Merge pull request #48 from Spaceglidemasta/sumo-service"
2025-12-11,Joel,"+ road rendering"
2025-12-11,Joel,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-11,Joel,"Merge branch 'main' into gui"
2025-12-11,Joel,"merge fix"
2025-12-11,Joel0457,"Merge pull request #49 from Spaceglidemasta/gui"
2025-12-11,masta of the universe,"Changed getLaneEdgeParam"
2025-12-11,spaceglidemasta,"Merge pull request #50 from Spaceglidemasta/sumo-service"
2025-12-11,Joel,"+ road details panel selectable"
2025-12-11,Joel,"Merge branch 'main' into gui"
2025-12-11,Leon-Uas,"Uodated WTrafficLight"
2025-12-11,masta of the universe,"Added Lane information to SumoRoad"
2025-12-11,spaceglidemasta,"Merge pull request #51 from Spaceglidemasta/sumo-service"
2025-12-11,Joel,"+ JavaDoc in WorldObject class"
2025-12-11,Joel,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-11,Joel,"Merge branch 'main' into gui"
2025-12-11,Joel0457,"Merge pull request #52 from Spaceglidemasta/gui"
2025-12-11,Joel,"+ road width displayed"
2025-12-11,Leon-Uas,"Initial revision of TL spawning"
2025-12-11,Leon-Uas,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-11,Leon-Uas,"Merge branch 'main' into gui"
2025-12-11,Joel,"changed car icon rotation and size + added filter in UI constants to show/not show collsion"
2025-12-11,Joel,"documentation in ui constants"
2025-12-11,Joel,"+ VehicleRenderRotation"
2025-12-12,masta of the universe,"move some stuff around and cloned the getNetFromSCFG method to getRouNetFromSCFG"
2025-12-12,Joel,"some null accesses and list modification while looping fixed"
2025-12-12,spaceglidemasta,"Merge pull request #53 from Spaceglidemasta/sumo-service"
2025-12-12,masta of the universe,"throw change in the functions from the last commit"
2025-12-12,spaceglidemasta,"Merge pull request #54 from Spaceglidemasta/sumo-service"
2025-12-12,Joel,"Merge branch 'main' into gui"
2025-12-12,Joel0457,"Merge pull request #55 from Spaceglidemasta/gui"
2025-12-12,Leon-Uas,"Work on Traffic light spawn"
2025-12-12,Leon-Uas,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-12,Joel,"collision fixes"
2025-12-12,Joel,"+ read and set data for RoadDetailsClass"
2025-12-12,masta of the universe,"Created new WPolygon wrapper class"
2025-12-12,spaceglidemasta,"Merge pull request #56 from Spaceglidemasta/sumo-service"
2025-12-12,Leon-Uas,"Worked on WorldTrafficLight"
2025-12-12,Leon-Uas,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-12,Leon-Uas,"Merge branch 'main' into gui"
2025-12-12,Joel,"Merge branch 'main' into gui"
2025-12-12,masta of the universe,"Added vehicle move and route functionality"
2025-12-12,spaceglidemasta,"Merge pull request #57 from Spaceglidemasta/sumo-service"
2025-12-12,Joel,"Merge branch 'main' into gui"
2025-12-12,Joel0457,"Merge pull request #58 from Spaceglidemasta/gui"
2025-12-12,masta of the universe,"Updated README"
2025-12-12,spaceglidemasta,"Merge pull request #59 from Spaceglidemasta/sumo-service"
2025-12-12,Leon-Uas,"More work on Traffic lights"
2025-12-12,Leon-Uas,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-12,Leon-Uas,"Merge branch 'main' into gui"
2025-12-12,masta of the universe,"Added some new vehicle methods to get & Change speed and lange"
2025-12-12,masta of the universe,"Merge branch 'main' into sumo-service"
2025-12-12,masta of the universe,"error correction from last commit"
2025-12-12,spaceglidemasta,"Merge pull request #60 from Spaceglidemasta/sumo-service"
2025-12-12,Joel,"+ render individual lanes + render junctions"
2025-12-12,Joel,"Merge branch 'gui' of https://github.com/Spaceglidemasta/Java-Sumo-Projekt-UAS into gui"
2025-12-12,Joel,"Merge branch 'main' into gui"
2025-12-12,Joel,"color adjustments of world and world object classes"
2025-12-12,Joel,"added bool in UI.Constants to toggle misc polys"
2025-12-12,Joel0457,"Merge pull request #61 from Spaceglidemasta/gui"
2025-12-12,Joel,"+ time counter in sim control controller"
2025-12-12,Joel,"some cleanup and added javadoc in SimView2D and WorldPoly classes"
2025-12-12,Joel,"fixed typo in var breaking app + moved getRelativeShape to WorldObject class"
2025-12-12,Joel,"+ some javadoc + setposition to poly center in worldpoly class"
2025-12-12,Joel,"+ Meth javadoc adjustments"
2025-12-12,Joel,"+ some more javadoc"
